"MP FONTE","MP CABO ","MODELO","SN FONTE  ","SN CABO","",""
"MP002432","","STORM 460 BLACK_BLUE","240301F04-2436007086 AICR010240-2004","POWR090312-0101242700192","240 W",""
"MP002310","MP002489","B.ON 145 / 147","-","-","65W",""
"MP002397","","HYB A52R / STORM 350","180308F00-2433008938 AICR010180-2005","POWR090312-0101242700192","180W",""
"MP002453","","B.ON SMART","-","-","90W",""
"MP002388","","ION A52I / D58I / STORM450","230505F01-2435004580 AICR010230-1914","POWR090313-0101243300522","230W ","P"
"MP001715","","B. ON NEW","0453C124422007807","-","45W",""
"MP002245","","A65 ION / A65I ","230505F01-2434018584 AICR010230-914","POWR090313-0101242901122","230W ","P"
"MP002198","","A70 / A72 ION","180304F05-240500785 AICR010180-2001","POWR090312-0101241500977","180W",""
"MP002377","","HYB A52I / STORM 350","180308F00-2433009317","POWR090312-0101242900288","180W",""
"MP002404","","ION A52r / STORM 450r","230505F01-2435002554 AICR010230-1914","POWR09313-01012433003880","230W ","P"
"MP002363","","STORM 480","280500W00-2434100526 AICR010280-2003","POWR090313-0101242901507","280W ","P"
"MP002341","","ION A70I / D68I","240301F04-242900975 AICR010240-2004","POWR090312-0101242800504","240W",""
